,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4KB9lTP3Tf3xfW2lMEYzdg,categories:cafes,price:price$$,categories:sandwiches,region:Central,region:Northeast,categories:cafes,region:Northeast,categories:sandwiches,region:Central,categories:sandwiches,region:Northeast,region:Northeast,region:Northeast,region:Central,region:Northeast,region:Northeast,categories:cafes,region:Central,categories:cafes,categories:cafes
4Uf6g20S-2ZcxJSuvVIjJg,categories:sandwiches,categories:bakeries,price:price$$$$,categories:bakeries,region:Northeast,categories:bakeries,categories:bakeries,categories:bakeries,region:Northeast,categories:sandwiches,region:Central,price:price$$$$,region:Northeast,categories:sandwiches,categories:bakeries,categories:sandwiches,region:Northeast,categories:bakeries,categories:sandwiches,categories:bakeries
4WlVklOsSd409skDsWwQkQ,categories:bakeries,categories:coffeeroasteries,categories:bakeries,categories:bakeries,price:price$$$$,categories:coffeeroasteries,categories:coffeeroasteries,region:Southeast,price:price$$$$,price:price$$$$,categories:coffeeroasteries,price:price$$$$,region:Southeast,categories:bakeries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:bakeries,region:Southeast,categories:coffeeroasteries
4k8-zCi4y6PsahRavlc2bw,region:Southeast,region:Southeast,price:price$$$$,price:price$$$$,price:price$$$$,region:Southeast,region:Southeast,price:price$$$$,price:price$$$$,price:price$$$$,price:price$$$$,region:Southeast,price:price$$$$,price:price$$$$,region:Southeast,categories:breakfast_brunch,region:Southeast,price:price$$$$,categories:themedcafes,categories:themedcafes
4y4obgWxi_CL25nRHrhuEA,price:price$$$$,categories:bakeries,region:Southeast,categories:bakeries,region:Southeast,categories:bakeries,region:Southeast,categories:bakeries,categories:sandwiches,price:price$$$$,price:price$$$$,region:Southeast,price:price$$$$,price:price$$$$,price:price$$$$,region:Southeast,region:Central,categories:bakeries,region:Southeast,categories:sandwiches
52R6YBCMU0yycOHKcnTXhA,categories:themedcafes,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:cafes,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:themedcafes,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:breakfast_brunch,categories:coffeeroasteries,categories:themedcafes,categories:themedcafes,categories:coffeeroasteries,categories:coffeeroasteries,categories:cafes
5EWSLyXrh4WWpAL1ghrgng,region:Central,categories:breakfast_brunch,categories:juicebars,categories:bars,categories:breakfast_brunch,categories:bars,categories:juicebars,region:Central,categories:breakfast_brunch,region:Central,region:Central,region:Central,categories:breakfast_brunch,region:Northwest,region:Northwest,categories:bars,region:Central,region:Northwest,region:Northwest,region:Central
5KibiQBLrIKGIc6VIYxhaw,price:price$$$,region:Northwest,price:price$$$,price:price$$$,categories:cafes,region:Northwest,categories:icecream,categories:icecream,price:price$$$,region:Northwest,categories:cafes,categories:icecream,categories:icecream,region:Northwest,region:Northwest,region:Northwest,region:Northwest,categories:icecream,region:Northwest,categories:cafes
5av7ZYxifKl1jPttRSvt7Q,categories:bakeries,categories:bakeries,region:Southeast,categories:bakeries,categories:bakeries,categories:bakeries,categories:themedcafes,price:price$$$$,region:Southeast,categories:bakeries,region:Southeast,region:Southeast,price:price$$$$,region:Southeast,categories:themedcafes,categories:bars,categories:themedcafes,price:price$$$$,region:Southeast,region:Southeast
5dYuYB2sNZx9Vx1P3x5JbA,region:Central,region:Northeast,region:Northeast,categories:sandwiches,region:Northeast,categories:sandwiches,region:Northeast,region:Northeast,categories:juicebars,categories:sandwiches,region:Northeast,region:Central,region:Northeast,region:Central,region:Northeast,region:Northeast,region:Northeast,region:Northeast,region:Northeast,region:Central
5dawy6OzNphOfecDP4De8g,price:price$$$$,categories:bakeries,price:price$$$$,categories:bakeries,categories:bakeries,categories:bakeries,price:price$$$$,region:Central,categories:bakeries,categories:bars,categories:bakeries,price:price$$$$,price:price$$$$,categories:bakeries,categories:bakeries,categories:bakeries,categories:bakeries,categories:bakeries,categories:bakeries,categories:bakeries
5mOW6BKTYPVa1OPyLStVFg,categories:juicebars,region:Central,region:Central,categories:juicebars,categories:juicebars,categories:juicebars,categories:cafes,categories:juicebars,categories:breakfast_brunch,categories:breakfast_brunch,categories:breakfast_brunch,categories:juicebars,categories:breakfast_brunch,categories:sandwiches,categories:juicebars,categories:cafes,categories:breakfast_brunch,categories:breakfast_brunch,categories:breakfast_brunch,categories:juicebars
62jyeuaoPpypSF9C2yncgQ,region:Southeast,categories:bakeries,categories:bakeries,price:price$$$$,categories:bakeries,categories:bakeries,categories:bakeries,price:price$$$$,price:price$$$$,categories:bakeries,price:price$$$$,region:Southeast,region:Southeast,categories:bakeries,region:Southeast,price:price$$$$,price:price$$$$,categories:bakeries,price:price$$$$,categories:bars
656jMu8i2rHVGtMleb_7Kg,categories:themedcafes,categories:coffeeroasteries,categories:cafes,categories:themedcafes,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:breakfast_brunch,categories:coffeeroasteries,categories:themedcafes,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:themedcafes,categories:cafes,categories:coffeeroasteries,categories:breakfast_brunch
690cxERsi3FBEoBOb2MOoQ,categories:coffeeroasteries,region:Central,region:Northeast,categories:coffeeroasteries,region:Northeast,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:sandwiches,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,categories:coffeeroasteries,region:Northeast,categories:coffeeroasteries,categories:sandwiches,categories:coffeeroasteries
69BnQt-ykPsqriePrJKIqw,price:price$,categories:coffeeroasteries,categories:coffeeroasteries,categories:bakeries,region:Northwest,categories:icecream,categories:bakeries,categories:icecream,categories:coffeeroasteries,region:Northwest,region:Northwest,categories:coffeeroasteries,categories:coffeeroasteries,categories:bakeries,region:Northwest,categories:bakeries,categories:coffeeroasteries,region:Northwest,categories:bakeries,categories:bakeries
6G_NEUIeW6DUUWzgY4IXJA,region:Southeast,categories:themedcafes,region:Southeast,categories:cafes,categories:cafes,region:Southeast,region:Southeast,region:Southeast,region:Southeast,region:Southeast,region:Southeast,region:Southeast,categories:cafes,categories:cafes,region:Southeast,categories:cafes,region:Southeast,price:price$,region:Southeast,region:Southeast
